title,price,location,neighborhood,rooms,bathrooms,area_m2,publisher,url
"Casa en  Venta en La calleja, Tunja",335000000.0,"Tunja, Boyaca",La Calleja,4,4,147,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-la-calleja-tunja/191480058
Casa en venta en Tunja,850000000.0,"Tunja, Boyaca",N/A,5,4,220,Inmobiliaria Fenix,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/10752529
Casa en  Venta en Tunja,330000000.0,"Tunja, Boyaca",N/A,5,3,172,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191273030
"Casa en venta en Santa ines, Tunja",630000000.0,"Tunja, Boyaca",Santa Ines,4,4,220,INMOBILIARIA Y CONSTRUCTORA 2 MIL,https://www.fincaraiz.com.co/casa-en-venta-en-santa-ines-tunja/10910660
Casa en  Venta en Tunja,850000000.0,"Tunja, Boyaca",N/A,4,3,240,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191273155
"Casa en Venta en Centro, Tunja",3059100000.0,"Tunja, Boyaca",Centro,N/A,N/A,650,Consorcio Inmobiliario de Colombia MR,https://www.fincaraiz.com.co/casa-en-venta-en-centro-tunja/192267519
Casa en  Venta en Tunja,1800000000.0,"Tunja, Boyaca",N/A,4,4,166,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191273105
"Casa en  Venta en Santa ines, Tunja",600000000.0,"Tunja, Boyaca",Santa Ines,4,4,145,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-santa-ines-tunja/191273033
Casa en  Venta en Tunja,250000000.0,"Tunja, Boyaca",N/A,3,3,5,EDI ELISANETH CRUZ CANO,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191629248
Casa en  Venta en Tunja,650000000.0,"Tunja, Boyaca",N/A,3,3,151,INMOBILIARIA Y CONSTRUCTORA 2 MIL,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/192055135
"Casa en venta en Cr. remanso de santa ines, Tunja",500000000.0,"Tunja, Boyaca",Cr. Remanso Santa Ines,3,4,220,INMOBILIARIA Y CONSTRUCTORA 2 MIL,https://www.fincaraiz.com.co/casa-en-venta-en-cr-remanso-de-santa-ines-tunja/7705589
Casa en Venta en Tunja,460000000.0,"Tunja, Boyaca",N/A,3,3,146,INMOBILIARIA Y CONSTRUCTORA 2 MIL,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/192350002
"Casa en Venta en La fuente, Tunja",165000000.0,"Tunja, Boyaca",La Fuente,2,2,100,NC INTERNATIONAL BUSINESS SAS,https://www.fincaraiz.com.co/casa-en-venta-en-la-fuente-tunja/192345587
Casa en Venta en Tunja,340000000.0,"Tunja, Boyaca",N/A,4,2,180,NC INTERNATIONAL BUSINESS SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/192345791
Casa en Venta en Tunja,520000000.0,"Tunja, Boyaca",N/A,4,3,220,INMOBILIARIA Y CONSTRUCTORA 2 MIL,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/192425466
Casa en Venta en Tunja,420000000.0,"Tunja, Boyaca",N/A,4,3,220,NC INTERNATIONAL BUSINESS SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/192347157
Casa en Venta en Tunja,340000000.0,"Tunja, Boyaca",N/A,4,3,180,NC INTERNATIONAL BUSINESS SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/192345709
"Casa en venta en Ub. canapro, Tunja",510000000.0,"Tunja, Boyaca",Ub. Canapro,5,3,212,ENTORNO URBANO,https://www.fincaraiz.com.co/casa-en-venta-en-ub-canapro-tunja/7718787
Casa en  Venta en Tunja,460000000.0,"Tunja, Boyaca",N/A,7,5,200,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191274059
Casa en  Venta en Tunja,290000000.0,"Tunja, Boyaca",N/A,5,2,140,ENTORNO URBANO,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191576286
Casa en venta en Tunja,320000000.0,"Tunja, Boyaca",N/A,3,3,130,ALMA ASESORES INMOBILIARIOS SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/10266978
