title,price,location,neighborhood,rooms,bathrooms,area_m2,publisher,url
Casa en  Venta en Tunja,320000000.0,"Tunja, Boyaca",N/A,9,3,240,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191273295
Casa en  Venta en Tunja,235000000.0,"Tunja, Boyaca",N/A,3,2,121,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191732736
"Apartaestudio en  Venta en Asis, Tunja",290000000.0,"Tunja, Boyaca",Asis,3,2,107,ATOS Inmobiliaria SAS,N/A
Casa en  Venta en Tunja,420000000.0,"Tunja, Boyaca",N/A,4,5,273,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191274077
Casa en  Venta en Tunja,500000000.0,"Tunja, Boyaca",N/A,5,2,238,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/192237878
Casa en  Venta en Tunja,1050000000.0,"Tunja, Boyaca",N/A,9,6,329,INMOBILIARIA Y CONSTRUCTORA 2 MIL,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191804258
Casa en Venta en Tunja,280000000.0,"Tunja, Boyaca",N/A,5,2,100,Casa 360,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/192309689
Casa en  Venta en Tunja,350000000.0,"Tunja, Boyaca",N/A,3,2,5,BOX HOUSE BIENES RAICES,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/192017727
Casa en  Venta en Tunja,298000000.0,"Tunja, Boyaca",N/A,2,N/A,140,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191273819
Casa en  Venta en Tunja,700000000.0,"Tunja, Boyaca",N/A,3,4,185,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/192134210
Casa en Venta en Tunja,240000000.0,"Tunja, Boyaca",N/A,7,2,150,Casa 360,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/192263330
"Casa en venta en Surinama, Tunja",380000000.0,"Tunja, Boyaca",Surinama,4,3,150,INMOBILIARIA Y CONSTRUCTORA 2 MIL,https://www.fincaraiz.com.co/casa-en-venta-en-surinama-tunja/7965862
Casa en  Venta en Tunja,550000000.0,"Tunja, Boyaca",N/A,4,3,130,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191273491
Casa en  Venta en Tunja,180000000.0,"Tunja, Boyaca",N/A,4,2,110,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191274044
"Casa en venta en Santa ines, Tunja",550000000.0,"Tunja, Boyaca",Santa Ines,5,4,235,INMOBILIARIA Y CONSTRUCTORA 2 MIL,https://www.fincaraiz.com.co/casa-en-venta-en-santa-ines-tunja/10060648
"Casa en venta en Centro, Tunja",1200000000.0,"Tunja, Boyaca",Centro,6,3,385,Inmobiliaria Fenix,https://www.fincaraiz.com.co/casa-en-venta-en-centro-tunja/5943777
Casa en  Venta en Tunja,195000000.0,"Tunja, Boyaca",N/A,4,2,85,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191272812
"Casa en venta en El topo, Tunja",410000000.0,"Tunja, Boyaca",El Topo,3,3,213,Inmobiliaria Eskala,https://www.fincaraiz.com.co/casa-en-venta-en-el-topo-tunja/10392620
Casa en  Venta en Tunja,600000000.0,"Tunja, Boyaca",N/A,8,3,72,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191273685
Casa en Venta en Tunja,710000000.0,"Tunja, Boyaca",N/A,5,4,290,Casa 360,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/192263267
Casa en  Venta en Tunja,452510000.0,"Tunja, Boyaca",N/A,5,6,156,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191272730
Casa en  Venta en Tunja,450000000.0,"Tunja, Boyaca",N/A,12,5,280,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191273903
"Casa en  Venta en Villa universitaria, Tunja",375000000.0,"Tunja, Boyaca",Villa Universitaria,4,3,157,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-villa-universitaria-tunja/191273898
"Casa en Venta en Santa barbara, Tunja",850000000.0,"Tunja, Boyaca",Santa Barbara,10,9,200,Casa 360,https://www.fincaraiz.com.co/casa-en-venta-en-santa-barbara-tunja/192380113
Casa en  Venta en Tunja,250000000.0,"Tunja, Boyaca",N/A,2,2,63,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191273092
Casa en  Venta en Tunja,400000000.0,"Tunja, Boyaca",N/A,3,4,150,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191274029
Casa en  Venta en Tunja,950000000.0,"Tunja, Boyaca",N/A,11,10,433,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191273661
Casa en  Venta en Tunja,340000000.0,"Tunja, Boyaca",N/A,7,4,225,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191272910
"Casa en venta en Santa ines, Tunja",490000000.0,"Tunja, Boyaca",Santa Ines,N/A,N/A,230,INMOBILIARIA Y CONSTRUCTORA 2 MIL,https://www.fincaraiz.com.co/casa-en-venta-en-santa-ines-tunja/10915528
Casa en  Venta en Tunja,240000000.0,"Tunja, Boyaca",N/A,4,2,115,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191996918
Casa en  Venta en Tunja,400000000.0,"Tunja, Boyaca",N/A,3,N/A,165,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191273059
Casa en  Venta en Tunja,335000000.0,"Tunja, Boyaca",N/A,3,2,130,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191579336
"Casa en venta en Usaquen, Tunja",1850000000.0,"Tunja, Boyaca",Usaquen,7,6,300,MORE PLUS SAS,https://www.fincaraiz.com.co/casa-en-venta-en-usaquen-tunja/10466523
Casa en Venta en Tunja,530000000.0,"Tunja, Boyaca",N/A,4,3,156,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/192406234
Casa en Venta en Tunja,640000000.0,"Tunja, Boyaca",N/A,3,3,151,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/192496553
Casa en  Venta en Tunja,650000000.0,"Tunja, Boyaca",N/A,4,4,150,INMOBILIARIA Y CONSTRUCTORA 2 MIL,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/192055111
Casa en  Venta en Tunja,780000000.0,"Tunja, Boyaca",N/A,4,3,251,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191273891
"Casa en venta en Maldonado, Tunja",1100000000.0,"Tunja, Boyaca",Maldonado,4,6,286,Inmobiliaria Fenix,https://www.fincaraiz.com.co/casa-en-venta-en-maldonado-tunja/7208735
Casa en  Venta en Tunja,635000000.0,"Tunja, Boyaca",N/A,5,4,242,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191273645
Casa en  Venta en Tunja,2600000000.0,"Tunja, Boyaca",N/A,11,8,800,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191272862
Casa en  Venta en Tunja,430000000.0,"Tunja, Boyaca",N/A,4,4,203,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191482380
Casa en  Venta en Tunja,245000000.0,"Tunja, Boyaca",N/A,4,3,112,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/192165614
"Casa en Venta en Las nieves, Tunja",750000000.0,"Tunja, Boyaca",Las Nieves,17,7,500,Casa 360,https://www.fincaraiz.com.co/casa-en-venta-en-las-nieves-tunja/192265191
"Casa en  Venta en Mesopotamia, Tunja",380000000.0,"Tunja, Boyaca",Mesopotamia,4,3,195,Inmobiliaria Fenix,https://www.fincaraiz.com.co/casa-en-venta-en-mesopotamia-tunja/191319571
